Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C3","100nF","C_0805_2012Metric",106.868000,-72.644000,180.000000,top
"C4","100nF","C_0805_2012Metric",150.495000,-85.410000,-90.000000,top
"C5","1uF","C_0805_2012Metric",161.229000,-74.045700,180.000000,top
"C6","1uF","C_0805_2012Metric",161.229000,-67.558500,0.000000,top
"C7","10uF","C_1206_3216Metric",145.338800,-54.559200,-90.000000,top
"C8","10uF","C_1206_3216Metric",145.338800,-59.690000,-90.000000,top
"C9","100nF","C_0805_2012Metric",141.925000,-93.218000,0.000000,top
"C11","100nF","C_0805_2012Metric",168.468000,-71.628000,0.000000,top
"C12","100nF","C_0805_2012Metric",112.979200,-74.726800,0.000000,top
"C13","100nF","C_0805_2012Metric",111.125000,-86.004400,-90.000000,top
"C15","22p","C_0805_2012Metric",136.779000,-87.761000,-90.000000,top
"C16","1uF","C_0805_2012Metric",160.340000,-91.567000,0.000000,top
"C17","22p","C_0805_2012Metric",130.556000,-87.766000,90.000000,top
"D1","GREEN LED","LED_0805_2012Metric",156.972000,-81.813400,90.000000,top
"D2","RED LED","LED_0805_2012Metric",161.163000,-81.815700,90.000000,top
"D3","RED LED","LED_0805_2012Metric",159.080200,-81.788000,90.000000,top
"D4","1N4007","D_SMA",150.164800,-50.800000,0.000000,top
"J1","Barrel","BarrelJack_Horizontal",160.703000,-56.177100,180.000000,top
"J2","GPCO","PinHeader_1x02_P2.54mm_Vertical",103.505000,-59.156600,90.000000,top
"J3","OLED","PinSocket_1x04_P2.54mm_Vertical",111.861600,-53.848000,90.000000,top
"J4","USB2.0_16P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",167.132000,-85.217000,90.000000,top
"J5","Databus","PinHeader_2x04_P2.54mm_Vertical",128.905000,-60.960000,90.000000,top
"J6","Chip select","PinSocket_1x04_P2.54mm_Vertical",141.605000,-53.340000,0.000000,top
"J7","Addressbus","PinHeader_2x06_P2.54mm_Vertical",123.825000,-55.880000,90.000000,top
"J8","Signals","PinHeader_2x02_P2.54mm_Vertical",121.285000,-58.420000,0.000000,top
"R1","3k","R_0805_2012Metric",106.830500,-74.676000,180.000000,top
"R2","3k","R_0805_2012Metric",113.006500,-72.517000,0.000000,top
"R5","22k","R_0805_2012Metric",160.297500,-88.519000,0.000000,top
"R6","22k","R_0805_2012Metric",168.425500,-91.440000,180.000000,top
"R7","15k","R_0805_2012Metric",165.100000,-70.993000,90.000000,top
"R8","22k","R_0805_2012Metric",156.972000,-85.875500,-90.000000,top
"R9","1k","R_0805_2012Metric",120.523000,-87.907500,90.000000,top
"R10","1k","R_0805_2012Metric",122.555000,-87.860500,90.000000,top
"R13","5k1","R_0805_2012Metric",163.933500,-91.567000,0.000000,top
"R14","5k1","R_0805_2012Metric",160.424500,-85.344000,180.000000,top
"R16","1k","R_0805_2012Metric",128.778000,-87.757000,-90.000000,top
"R17","1k","R_0805_2012Metric",126.619000,-87.733500,-90.000000,top
"SW1","RST","SW_SPST_TL3342",160.020000,-97.409000,90.000000,top
"SW2","BTN","SW_SPST_TL3342",167.132000,-97.282000,90.000000,top
"U1","R6507","DIP-28_W15.24mm",103.489600,-78.740000,90.000000,top
"U2","74HC161","SOP-16_3.9x9.9mm_P1.27mm",114.935000,-58.714000,90.000000,top
"U3","6532","DIP-40_W15.24mm",106.019600,-96.266000,90.000000,top
"U4","w27C512","DIP-28_W15.24mm",174.599600,-63.495000,-90.000000,top
"U5","MIC5504-3.3YM5","SOT-23-5",161.229000,-70.733500,90.000000,top
"U6","AMS1117-5.0","SOT-223-3_TabPin2",152.704800,-57.556400,180.000000,top
"U7","SN74LVC1G14DBVR","SOT-23-5",156.972000,-68.580000,0.000000,top
"U8","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",144.272000,-87.949000,-90.000000,top
"U9","74HC138","SOP-16_3.9x9.9mm_P1.27mm",149.352000,-70.612000,-90.000000,top
"X1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",108.127800,-54.991000,-90.000000,top
"Y2","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",133.688000,-87.788000,180.000000,top
